Event,Driver,Trip,Starttime,Endtime,Speedingtime
19514,100,7,327830,328210,390
19515,100,9,39590,43770,3890
19516,100,9,54940,55890,900
19517,100,13,134580,150740,16170
19518,100,13,159690,161940,2230
19519,100,13,163060,163190,140
19520,100,13,172260,172540,290
19521,100,13,176650,177560,920
19522,100,13,179750,182800,1910
19523,100,13,193160,228080,34920
19524,100,13,231200,246300,13040
19525,100,13,248410,300380,45100
19526,100,13,301530,311150,9620
19527,100,13,326150,328140,1930
19528,100,13,329570,333480,2860
19529,100,13,338870,343030,3850
19530,100,13,344440,362670,18230
19531,100,13,363860,377010,13160
19532,100,14,52990,59670,6230
19533,100,14,61940,64040,2110
19534,100,14,65770,71580,5360
19535,100,14,84170,84270,110
19536,100,14,85320,86280,970
19537,100,14,87470,87740,150
19538,100,14,90810,91200,350
19539,100,14,136160,136610,450
19540,100,19,6170,15860,9700
19541,100,19,27390,63450,34920
19542,100,19,64620,71660,7050
19543,100,19,73960,75020,1070
19544,100,19,77880,81270,3390
19545,100,19,82430,84150,1730
19546,100,19,85470,88850,3380
19547,100,19,90240,91310,1070
19548,100,19,93620,94580,530
19549,100,19,111930,121440,9340
19550,100,19,122790,130730,7600
19551,100,19,131860,137180,4530
19552,100,19,140350,140520,160
19553,100,19,142690,145980,2900
19554,100,19,204140,205060,930
19555,100,19,242890,250260,6470
19556,100,19,254270,255070,810
19557,100,19,256140,256700,570
19558,100,19,268750,270930,1570
19559,100,19,280190,289190,9010
19560,100,19,292820,293730,280
19561,100,19,302720,312140,9430
19562,100,22,44060,60910,16830
19563,100,23,29230,44750,15520
19564,100,34,59640,79450,19520
19565,100,34,81460,82600,1140
19566,100,34,84030,91490,4030
19567,100,34,104010,114090,9160
19568,100,34,116520,142120,25210
19569,100,34,146610,150360,2200
19570,100,35,37290,38360,1070
19571,100,35,39470,39980,510
19572,100,35,41040,55760,14730
19573,100,35,58160,67290,9010
19574,100,35,68970,74410,5440
19575,100,35,84160,86530,2380
19576,100,35,104360,105310,960
19577,100,35,123250,123760,520
19578,100,35,124780,133160,8390
19579,100,37,43190,43380,200
19580,100,37,46670,46670,10
19581,100,37,67530,67610,70
19582,100,37,69550,70260,720
19583,100,37,91490,101380,9900
19584,100,37,105120,129670,24550
19585,100,37,130840,131810,360
19586,100,37,139950,145180,5240
19587,100,37,147770,147890,130
19588,100,37,149680,174890,25220
19589,100,37,176400,210070,33680
19590,100,37,217390,218800,520
19591,100,37,223250,244920,20910
19592,100,37,246920,258120,10310
19593,100,37,262690,269540,6860
19594,100,37,274730,274970,250
19595,100,39,24960,26980,2030
19596,100,39,29290,29710,210
19597,100,39,45240,46170,940
19598,100,39,49750,49910,140
19599,100,39,69530,69920,400
19600,100,39,72010,75020,2200
19601,100,39,77110,78010,900
19602,100,39,80200,82950,2160
19603,100,39,84980,86060,860
19604,100,39,101680,105010,2630
19605,100,39,106280,124270,14520
19606,100,39,125330,136900,11580
19607,100,39,140740,142020,1280
19608,100,39,146470,149880,3400
19609,100,39,151520,151990,470
19610,100,39,156010,165560,8460
19611,100,39,174530,175270,750
19612,100,39,177030,216930,39100
19613,100,39,220240,220880,650
19614,100,39,232330,232500,160
19615,100,39,235390,238410,3030
19616,100,39,241090,241240,150
19617,100,39,243890,252550,7680
19618,100,39,270810,271790,990
19619,100,39,274270,274400,80
19620,100,39,278010,280830,2830
19621,100,42,45460,53280,7830
19622,100,42,55120,58220,3110
19623,100,42,59240,60310,1030
19624,100,52,41510,49210,5710
19625,100,52,60100,63870,3780
19626,100,52,68880,69480,480
19627,100,52,78270,82900,4380
19628,100,52,92410,120650,28230
19629,100,52,122600,123190,600
19630,100,52,156060,157280,1230
19631,100,52,159260,160070,820
19632,100,52,162520,162610,50
19633,100,52,164180,164280,90
19634,100,52,165300,165430,140
19635,100,52,167450,171040,3500
19636,100,52,186860,187140,290
19637,100,52,192090,199560,6880
19638,100,52,201610,210020,8030
19639,100,52,213030,214000,980
19640,100,52,216950,220790,2460
19641,100,52,223660,230160,6510
19642,100,52,237780,237830,60
19643,100,52,246660,246970,310
19644,100,52,249520,257650,7710
19645,100,52,259220,265110,5480
19646,100,52,267920,268340,420
19647,100,52,269520,270110,590
19648,100,52,274890,278520,3640
19649,100,52,284450,286330,1890
19650,100,52,288750,298900,9580
19651,100,71,222020,222900,650
19652,100,71,232050,233800,1170
19653,100,71,270120,274310,3780
19654,100,71,279660,280510,860
19655,100,71,330800,345480,14440
19656,100,71,346680,349230,2560
19657,100,71,350760,352220,1460
19658,100,72,32060,78050,44740
19659,100,72,83920,86380,1940
19660,100,72,92410,96710,4310
19661,100,72,103420,103420,10
19662,100,72,105500,125380,19890
19663,100,72,126430,144960,18530
19664,100,72,145980,210300,63280
19665,100,72,211420,213060,1150
19666,100,72,214060,214210,130
19667,100,72,216800,218390,680
19668,100,72,229760,231510,1760
19669,100,72,237240,237310,50
19670,100,72,238600,246320,7730
19671,100,72,248950,249720,770
19672,100,72,251750,254840,3100
19673,100,72,262850,263330,490
19674,100,72,268000,268220,230
19675,100,75,54620,60430,5430
19676,100,75,62220,62450,220
19677,100,75,64690,73690,8910
19678,100,76,30500,44090,13600
19679,100,88,143730,143980,260
19680,100,88,145530,145890,370
