Driver,Trip,Speeding,Total,Ratio
20,178,5490,39379,0.1394108684611478
20,181,8320,28550,0.2914185639229422
20,185,1680,31439,0.0534351145038168
20,188,4200,30180,0.13916500994035785
20,196,4130,27839,0.1483477011494253
20,202,920,13700,0.06715328467153285
20,207,3400,28180,0.12065294535131299
20,217,1350,49930,0.02703785299419187
21,1,8070,79500,0.10150943396226415
21,2,270,128180,0.002106412856919956
21,4,19400,121309,0.15992086390239882
21,5,5960,148380,0.04016713842835961
21,7,28100,108430,0.2591533708383289
21,21,17940,65220,0.27506899724011036
21,22,13140,66650,0.19714928732183046
21,23,17930,83300,0.21524609843937575
21,26,36080,277070,0.13021980005052874
21,27,990,40730,0.024306408053032164
21,28,149960,249960,0.5999359897583614
21,32,13910,67370,0.20647172331898472
21,36,4620,59179,0.07806691449814128
21,39,290,14590,0.019876627827278958
21,40,3460,5840,0.5924657534246576
21,41,38740,82300,0.4707168894289186
21,43,51490,266550,0.19317201275558057
21,46,13690,65670,0.20846657530074617
21,47,12620,72990,0.17290039731470064
21,56,34830,79270,0.43938438249022327
21,58,29170,37790,0.7718973273352738
21,62,37410,82910,0.45121215776142803
21,67,14590,605279,0.024104546656093052
21,69,102410,1141109,0.08974594911971678
21,77,260500,622280,0.4186218422575046
21,85,15550,1152220,0.013495686587630834
21,87,144810,991770,0.14601167609425572
21,88,374910,589779,0.6356777103326665
21,90,4530,14100,0.32127659574468087
21,98,7680,80630,0.09524990698251272
21,106,29110,99600,0.29226907630522087
21,107,26990,47900,0.5634655532359082
21,109,258740,625750,0.41348781462245304
21,114,161030,169400,0.950590318772137
21,115,145070,152230,0.9529659068514748
21,118,180140,406100,0.443585323811869
21,123,1210,14740,0.08208955223880597
21,134,42140,53950,0.7810936051899907
21,135,9120,73440,0.12418300653594772
21,138,37030,47870,0.773553373720493
21,139,5830,21880,0.2664533820840951
21,142,28880,126340,0.22858952034193444
21,143,181280,283990,0.6383323356456213
21,144,40770,100160,0.4070487220447284
21,145,150210,201840,0.7442033293697978
21,148,85930,105090,0.8176800837377485
21,149,27450,70410,0.3898593949723051
21,151,1020,55679,0.01831896551724138
21,152,97500,108840,0.8958103638368246
21,153,5610,13390,0.4189693801344287
21,158,74190,112069,0.6619969661818507
21,161,25020,79170,0.31602879878741946
21,171,1600,79000,0.020253164556962026
21,177,7480,22190,0.33708877872915727
21,180,27640,82159,0.3364167478091529
21,183,9050,27980,0.32344531808434596
21,185,99960,121559,0.8223099703849952
21,187,9820,13540,0.725258493353028
21,194,45790,170450,0.26864183044881196
21,195,156580,244019,0.6416687156790428
21,196,36860,63050,0.5846153846153846
21,205,58510,80350,0.7281891723708774
21,206,51730,61440,0.8419596354166666
21,210,32450,59720,0.5433690555927662
21,211,1460,21490,0.06793857608189856
21,214,152340,235260,0.6475388931395052
21,216,140100,220890,0.6342523427950564
21,221,10,190,0.05263157894736842
