Driver,Trip,Distance,SecInMotion
4,163,3239.858,125
4,166,760.0998,36
4,167,28.35334,1.1
4,167,1090.68,45.4
4,167,1047.631,40.6
4,167,15940.09,574.4
4,167,4010.341,125.9
4,169,4348.844,155.3
4,169,27899.94,860
4,169,3403.325,101.3
4,169,4152.325,128.2
4,177,4028.608,117.5
4,177,8045.675,234.8
4,177,1876.218,58.3
4,177,15888.77,410.6
4,178,20925.96,618.6
4,178,1757.585,63.4
4,186,428.9459,16.3
4,186,29318.95,832
4,186,8530.752,269.8
4,186,19014.08,562.5
4,186,53.24501,1.5
4,186,4128.016,119.2
4,186,989.7537,32.4
4,186,839.8881,29.5
4,186,1453.574,42.2
4,186,3615.968,113.7
4,187,5488.096,182.1
4,187,6221.155,208.7
4,187,429.4645,13.2
4,187,4517.375,141
4,187,13763.52,465.2
4,187,3329.129,102.2
4,187,1541.267,48.7
4,187,4489.995,141
4,187,5323.842,165.8
4,187,12941.95,384.2
4,187,8305.852,246.7
4,187,1161.089,38
4,187,421.2801,14.7
4,189,5940.049,171.4
4,189,4396.352,130.1
4,189,5561.96,163.2
4,189,3405.986,94.9
4,189,19499.43,524.8
4,189,8517.928,256.6
4,189,16426.96,547.7
4,189,2506.345,77.1
4,189,27.92639,0.9
4,189,78.83028,2.4
4,189,161.9659,5.1
4,189,5527.112,170.2
4,189,738.8956,26.3
4,189,1472.256,43.7
4,189,3565.379,110.1
4,189,54.99889,3
4,194,5471.846,198.5
4,194,6258.14,196.6
4,194,447.2634,12.4
4,194,4416.83,141.5
4,194,13858.57,507.4
4,194,3275.535,93.8
4,194,2824.468,82.6
4,194,26906.61,836.8
4,194,25296.91,754
4,194,3382.977,100.6
4,194,6285.559,182.9
4,199,414.5064,16
4,199,29269.63,793.5
4,199,8515.672,255.2
4,199,14586.07,453.1
4,199,1627.629,47
4,199,2564.585,76.7
4,199,27.50334,0.8
4,199,5617.56,171.4
4,199,2328.827,77.5
4,199,3503.38,112.2
4,201,5482.515,185.3
4,201,6198.887,195.5
4,201,352.7667,10.3
4,201,18368.38,568.2
4,201,3302.316,100
4,201,5672.727,169.5
4,201,102.0342,3.5
4,201,26802.99,813.9
4,201,1166.631,38.6
4,201,399.625,15.3
4,205,5976.823,186.8
4,205,2382.442,86.3
4,205,7674.16,241.2
4,205,23068.18,654.9
4,205,8549.308,392.8
4,205,14571.87,486.9
4,205,4296.106,132.1
4,205,33.15195,1
4,205,70.3875,2.2
4,205,4386.793,134.9
4,205,1032.353,36.2
4,205,2342.546,68.7
4,205,3640.029,108.9
4,207,5486.645,235.2
4,207,1630.321,60.9
4,207,2707.168,90.6
4,207,257.0389,8.6
4,207,243.1597,7.3
4,207,18498.01,830.8
4,207,3301.221,98.2
4,207,6151.333,199.4
4,207,13.16778,0.5
4,207,22609.68,676.3
4,207,9929.643,325.7
4,207,6160.708,190.8
4,208,11745.62,348.6
4,208,17291.63,484.7
4,208,2177.378,60.9
4,208,3370.921,101.3
4,208,2420.955,81.5
4,208,19072.47,580.6
4,208,3388.898,100.6
4,208,4049.543,115.3
4,235,27899.37,807.1
4,235,2905.793,79.9
4,235,2417.494,76.6
4,235,11041.28,333.6
4,235,7864.228,216.5
4,235,3414.037,93.5
4,235,6192.621,178.4
4,239,10234.09,307.4
4,239,19391.45,571.2
4,239,8518.615,258.9
4,239,14598.59,487.8
4,239,4270.535,129.2
4,239,73.23917,2.1
4,239,48.70723,1.5
4,239,5454.984,159.7
4,239,2324.395,72.3
4,239,3580.995,108.6
4,239,41.60889,2.4
4,242,5465.116,199
4,242,6234.156,184.5
4,242,12.80611,0.4
4,242,612.1068,18.8
4,242,18508.43,638.1
4,242,3309.565,104.4
4,242,6149.573,196.3
4,242,35.63778,1.3
4,242,26795.56,786.9
4,242,1761.817,55.7
4,242,68.11778,3.6
4,251,29587.23,921
4,251,8571.66,355.6
4,251,19002.03,645.1
4,251,63.78223,2
4,251,42.97362,1.4
4,251,4351.573,131.7
4,251,1102.961,31
4,251,750.0446,28.6
4,251,1306.224,42.9
4,251,3553.178,123.3
4,251,21.17167,1.2
