Driver,Trip,TripTime,Distance
4,382,9640,2874.931
4,383,11020,2963.101
4,386,10860,2962.628
4,387,9140,2873.717
4,388,9530,2962.563
4,401,9860,2878.657
4,402,10080,2961.686
4,403,8810,2866.036
4,404,10570,2966.821
4,405,9380,2872.497
4,407,9920,2966.324
4,411,9800,2871.401
4,412,9910,2965.378
4,416,9090,2873.438
4,417,14570,4253.596
4,417,16590,4878.191
4,421,9850,2766.209
4,421,70,14.94727
4,423,9920,2873.665
4,424,10360,2966.219
4,426,9740,2873.85
4,427,35110,4262.061
4,427,17890,4888.636
4,429,9950,2874.074
4,432,11340,2967.208
4,433,9520,2875.096
4,434,10750,2969.367
4,434,9290,2871.576
4,434,20220,5523.627
4,434,16520,4876.92
4,436,9190,2866.939
4,441,11170,2968.069
4,444,10210,2867.697
4,445,9980,2965.774
4,454,9560,2874.422
4,455,11280,2968.405
4,455,9150,2865.172
4,456,14590,4257.135
4,456,14600,4870.685
4,460,11070,2964.409
4,461,10240,2874.839
4,463,11500,2966.165
4,467,10550,2872.858
4,468,9430,2965.999
4,472,9160,2874.293
4,473,9700,2963.427
4,479,9430,2872.059
4,480,9990,2963.635
4,481,9520,2870.495
4,481,10380,2963.609
4,490,26900,8265.266
4,492,25240,8092.431
4,492,23760,8254.746
4,493,25750,8093.713
4,494,27070,8262.188
4,495,24950,8089.075
4,499,9200,2877.698
4,500,11060,2968.893
4,507,9440,2878.631
4,508,10140,2966.161
4,509,9470,2870.049
4,511,9970,2882.149
4,512,9820,2963.109
4,513,10110,2871.501
4,514,14080,4245.955
4,514,14040,4876.091
4,517,10740,2874.607
4,518,14430,4253.617
4,518,15020,4880.137
4,519,8950,2866.518
4,521,9840,2966.872
4,522,9320,2875.255
4,524,9840,2964.674
4,531,8990,2873.38
4,533,9000,2868.565
4,534,9980,2964.51
4,545,9150,2872.741
4,549,10650,2965.733
4,554,26500,8267.037
4,555,24830,7887.561
4,555,80,15.51563
5,1,27540,8365.497
5,1,17900,5648.203
5,29,10460,2951.455
5,30,10080,2859.311
5,32,9810,2956.043
5,33,10250,2859.563
5,36,8880,2749.26
5,36,60,15.23926
5,36,36770,8842.211
5,36,29150,8928.441
5,111,10380,2862.541
5,155,21240,6644.583
5,155,19670,5822.228
5,156,16670,5119.977
5,156,17870,5660.785
5,209,20240,6640.155
5,209,33080,9488.206
5,237,22170,6647.938
5,237,20430,5822.627
5,238,15550,5116.733
5,238,17730,5656.234
5,240,9350,2959.531
5,241,9320,2863.363
5,299,9270,2864.534
6,1,26670,8239.611
6,4,19530,4565.094
6,5,21150,4500.374
6,6,50060,15390.19
6,6,4750,1200.285
6,6,34810,10612.4
6,6,29770,8854.32
6,12,24860,4568.029
6,16,11380,3881.851
6,17,17040,4560.422
6,17,12060,3881.526
6,18,19110,4568.221
6,19,11980,3883.745
6,22,17920,4563.419
6,24,20340,5199.495
6,26,17400,4567.794
6,27,16530,4496.802
6,28,18570,4559.685
6,29,11830,3882.303
6,30,18640,4569.85
6,32,19180,5195.817
6,34,16640,4562.526
6,35,11030,3880.52
6,36,19780,4569.171
6,37,11840,3887.097
6,38,15930,4557.213
6,39,20960,4498.316
6,40,26630,8086.572
6,40,25790,8251.76
6,42,66030,21073.32
6,43,65660,21218.23
6,44,19280,4576.576
6,45,19870,4498.333
6,47,16810,4560.344
6,48,11680,3885.146
6,49,17140,4558.936
6,52,19680,5198.838
6,53,15990,4558.939
6,54,19150,5200.718
6,55,16910,4560.548
6,58,10850,3508.329
6,60,11040,3877.264
6,64,30320,9365.806
6,64,65480,20317.76
6,65,6320,2009.08
6,65,48090,15968.06
6,65,14250,4307.053
6,65,25070,5802.947
6,66,17160,4562.646
6,70,15480,4498.204
6,71,11170,3509.113
6,72,22590,5166.102
6,73,17920,4562.45
6,74,19440,4498.639
6,76,28960,9371.154
6,76,14400,4867.029
6,78,26850,8382.749
6,78,15270,4388.71
6,79,10140,3505.796
6,80,21160,4502.667
6,81,49450,15834.08
6,84,9720,3504.201
6,85,16800,4498.496
6,86,10550,3507.308
6,88,19460,4503.419
6,90,10380,3505.505
6,91,21230,5204.353
6,92,19190,4562.286
6,93,11180,3883.505
6,96,18070,4568.284
6,97,11330,3882.41
6,98,11020,3513.678
6,100,17720,4563.66
6,100,11760,3881.684
6,101,12210,3543.752
6,103,14710,4500.485
6,104,10980,3517.246
6,105,11410,3885.569
6,107,10080,3505.117
6,108,18510,5201.368
6,109,35050,4569.37
6,110,19180,4502.917
6,111,11650,3514.042
6,113,42210,5828.087
6,115,9330,3146.039
6,116,10130,3510.378
6,117,18340,5203.275
6,118,36660,11194.92
6,120,34980,11054.75
6,121,26730,9371.721
6,121,19240,6894.007
6,123,10420,3514.625
6,130,10740,3512.312
6,130,19570,5199.96
6,131,24440,8078.942
6,131,31280,8863.667
6,132,12410,3514.23
6,133,12090,3883.845
6,137,11040,3511.56
6,138,32280,5817.07
6,139,10620,3509.174
6,140,12560,3885.096
6,141,16530,4558.718
6,142,20050,5206.795
6,146,13500,3894.021
6,147,11710,3515.748
6,149,19230,4567.177
6,150,14480,4499.831
6,151,11590,3513.815
6,152,9650,2962.666
6,153,8770,2864.406
6,154,11270,3886.432
6,155,10040,3508.536
6,155,19890,4496.399
6,156,9970,3505.429
6,157,15040,4504.409
6,159,10260,3506.883
6,160,18840,4505.47
6,162,10800,3513.839
6,163,23730,4506.67
6,166,12730,3514.18
6,167,12490,3884.403
6,169,21490,4505.801
6,170,10660,3513.646
6,171,17800,4502.627
6,173,10130,3511.797
6,174,19870,4508.167
6,175,16920,4570.062
6,176,22310,4510.11
6,179,10680,3510.615
6,181,19730,4507.276
6,182,10540,3508.184
6,183,10910,3881.511
6,186,51030,4577.079
6,190,15500,4507.527
6,191,23760,8075.963
6,192,33050,8872.86
6,193,28940,8351.817
6,194,9340,2864.174
6,195,11140,3878.872
6,196,10770,3513.5
6,198,12630,3885.844
6,202,12220,3519.227
6,203,15310,4504.513
6,205,25850,8265.209
6,206,10780,3513.876
6,207,19770,4511.345
6,208,11300,3518.213
6,208,13560,4251.909
6,208,28240,8770.47
6,209,33280,10008.88
6,209,15080,4326.855
6,209,19200,5209.986
6,211,26490,8098.638
6,212,33670,8874.322
6,213,11320,3511.417
6,214,11150,3889.03
6,215,11060,3515.579
6,216,16800,4508.41
6,219,11910,3517.75
6,220,11870,3890.189
6,221,15780,4562.068
6,221,9870,2962.665
6,222,25630,8256.654
6,223,11120,3514.702
6,226,29710,5821.351
6,227,16470,4565.133
6,228,25240,5823.559
6,229,12390,3518.084
6,230,11620,3892.367
6,232,14500,4558.212
6,233,11670,3518.95
6,234,12280,3888.733
6,236,11990,3516.517
6,237,20280,4505.595
6,239,540,68.62671
6,241,13480,4257.178
6,241,26740,8753.406
6,242,29040,9028.982
6,242,28850,9703.296
6,243,10340,3513.323
6,246,29990,5827.308
6,247,20130,4572.13
6,247,590,69.8457
6,249,45120,4573.971
6,250,11970,3893.62
6,251,11440,3516.627
6,253,10960,3521.813
6,254,18080,4511.419
6,259,11580,3522.751
6,260,17730,4510.846
6,261,9840,3512.003
6,262,11190,3891.529
6,263,31490,4576.778
6,268,10810,3516.539
6,269,12120,3893.511
6,272,11190,3522.727
6,273,12160,3894.756
6,274,19370,4581.037
6,276,11380,3890.65
6,277,13530,3520.14
6,278,12200,3892.846
6,279,11010,3519.373
6,280,11400,3895.095
6,281,10560,3518.708
6,282,11450,3895.002
6,286,15900,4576.132
6,287,18820,4506.189
6,288,11530,3518.61
6,290,12640,3895.366
6,291,10910,3526.862
6,292,11830,3892.448
6,293,11480,3523.496
6,295,19380,4579.844
6,299,11030,3521.945
6,300,16440,4951.824
6,300,14220,4876.713
7,7,19350,5143.166
7,8,19830,5472.144
7,18,33780,8974.095
7,18,13620,3716.771
7,32,15680,5138.676
7,33,40970,14024.03
7,91,32060,9438.006
7,91,12010,3709.355
7,92,29860,7800.098
7,92,4880,1627.126
7,92,22810,7616.818
7,110,27930,5152.508
7,111,22870,5478.579
7,116,17860,5177.037
7,116,31410,9696.831
7,120,26930,8089.677
7,136,34600,9448.852
