Event,Driver,Trip,Starttime,Endtime
113,2,279,52580,55080
114,3,26,585860,587130
115,3,57,301390,301880
116,3,90,48000,50310
117,3,90,138310,139220
118,3,90,142130,142560
119,3,162,23760,29340
120,3,164,26290,28930
121,3,177,26310,28310
122,3,197,148570,150760
123,3,225,106960,108480
124,3,261,76600,77450
125,3,261,81730,82900
126,3,277,24960,25940
127,3,277,67860,70060
128,3,277,72360,73040
129,3,280,60150,60970
130,3,291,237960,239210
131,3,303,556490,558120
132,4,178,146520,146880
133,4,229,35890,36250
134,4,250,125830,129420
135,4,325,33300,33850
136,4,349,39930,41690
137,4,362,21660,22200
138,4,372,102740,104610
139,4,427,62160,62580
140,4,549,74980,75660
141,5,240,101270,102140
142,6,4,41000,41960
143,6,24,10140,11210
144,6,26,33650,34810
145,6,28,39550,41560
146,6,32,77910,79130
147,6,38,30780,32120
148,6,43,19190,19710
149,6,47,67720,69020
150,6,47,71520,72320
151,6,49,33990,36300
152,6,52,7370,8170
153,6,53,30850,32310
154,6,53,34910,35390
155,6,55,33460,34670
156,6,65,149650,150870
157,6,73,28690,31220
158,6,74,23280,26970
159,6,96,23240,24540
160,6,103,42290,43210
161,6,108,41490,42490
162,6,117,25870,27000
163,6,117,39190,39430
164,6,118,30200,31670
165,6,130,52440,53600
166,6,131,126910,128820
167,6,141,30810,31740
168,6,142,24560,25610
169,6,149,30190,31250
170,6,150,26160,27190
171,6,155,97170,102470
172,6,163,50280,57650
173,6,166,21620,21710
174,6,175,32390,33020
175,6,176,48090,55330
176,6,190,25710,26940
177,6,193,48860,49880
178,6,209,99550,100600
179,6,212,39150,44190
180,6,221,19350,19430
181,6,221,27470,28990
182,6,221,31630,32420
183,6,226,35770,39000
184,6,228,44230,45130
185,6,232,28530,29040
186,6,249,33770,37490
187,6,254,47140,48300
188,6,274,25750,27220
189,6,277,22190,22390
190,6,286,17320,17930
191,7,116,123370,123680
192,7,190,86530,88450
193,8,2,25430,31070
194,8,24,32890,34860
195,8,46,25510,26900
196,8,51,180160,181550
197,8,56,22470,28210
198,8,158,273780,274190
199,8,177,513970,516130
200,8,183,53680,58610
201,8,200,86790,90520
202,8,241,56430,58320
203,8,260,102700,106810
204,9,23,52420,52740
205,9,23,58060,58340
206,9,23,94900,95170
207,9,26,59570,60360
208,9,42,182970,183220
209,9,52,44680,45470
210,9,52,61210,61420
211,9,59,74680,75090
212,9,68,85580,86080
213,9,80,44470,44950
214,9,83,53950,54650
215,9,109,48650,48880
216,9,116,49890,50530
217,9,122,47190,48200
218,9,150,63800,64240
219,9,169,40270,41960
220,9,174,43000,43210
221,9,183,31790,32060
222,9,191,53200,53460
223,9,214,52370,52520
224,9,214,52750,53140
225,9,220,92400,94210
226,9,221,28160,28450
227,9,226,40610,40880
